word,entropy,std,std.log,residual
which,4.546726661005394,83.36523218096215,4.423231342121746,7.36049390877767
their,5.525757861309945,43.628944299026216,3.775720790166776,7.123471235781977
there,5.623629060527167,66.51837606061574,4.197478241227808,17.874291911067274
would,4.690992288004697,62.24126482872848,4.131018201461988,9.566992616831179
about,4.962487647199102,55.815109519682906,4.022044612655631,8.541340190046512
could,5.120733087276352,54.933539717777855,4.006124085798588,5.347964672302616
other,5.192363155331856,45.96266031970392,3.827829334675785,12.539315783745145
these,5.566150105980281,72.90404123599635,4.289144072814158,23.030916681002225
first,5.304047296589947,51.49532093804636,3.941490947970158,4.31287315329557
after,5.344536076415154,46.28567629995999,3.8348325460568025,8.570265618325152
where,5.0348794115589435,84.04058634410653,4.431299852917079,21.57281714217673
those,5.670341523814521,45.646974662991255,3.820937332402173,2.017496510614535
being,4.939564948681619,60.73766094140153,4.1065639495149115,4.22546061024822
while,5.142055300719498,54.148276714383165,3.9917261486448097,5.599278640252358
right,4.8216283230642105,57.59496467188391,4.053435144989687,10.55504697811866
world,4.904704790539483,57.8479944646719,4.057818785185187,8.045687489423301
still,5.4706949413680706,59.66102335677999,4.088678932086991,7.689204526877802
think,4.926245007158506,56.99792662571803,4.043014892185561,8.31962607235824
never,5.1988239485401735,77.9109875564062,4.355566989867697,19.56752724493377
again,4.873590006292407,86.08370869560348,4.455320179774446,19.35134190638989
might,4.487874305254284,71.70457032604901,4.272554487917898,6.059289404620841
under,5.165733478871399,49.88650421858391,3.9097505096361025,9.272310606267709
three,5.647685114781899,66.73199467297582,4.200684518166292,18.594544664850503
state,5.9517974266349825,49.85075888017367,3.909033719565268,7.724106969179175
going,4.785772431763586,71.7479913208928,4.273159858720222,2.6073107554648516
place,5.751989130905019,44.69645690974292,3.7998942347138445,1.2971449135314685
found,4.688226027681282,66.66341995947734,4.199656376086174,5.223758822953911
great,5.766722339413705,38.000153710024605,3.6375902047188524,7.697547544567257
every,4.560714706840227,90.5144377528728,4.505509371162731,14.923785723582824
since,5.682873945763985,44.988634755142925,3.8064098968745963,2.415948500903397
power,5.158824716268342,56.297287112895674,4.030646347712814,3.0328516627067756
human,4.589685242214238,64.91925800140534,4.173144313151089,9.818696189335938
water,5.590336283347632,43.28464876334461,3.767798040122734,6.068137480932968
house,5.401682117486029,48.95667851217936,3.8909357950567665,4.577276433487107
women,4.871154696750201,60.84497159571097,4.108329179958364,5.953360398276658
small,5.212966168023456,66.33432643301505,4.1947075072962985,8.336695733766405
often,4.887960189953987,56.8062227117374,4.039645874510527,9.537852418253216
order,5.477621528133576,65.10395198311711,4.175985253717853,13.286843052185489
point,5.4177423712256605,49.173064250320465,3.895345998992348,3.9940024327074184
given,4.8013013407201575,65.13452741056568,4.176454783585717,3.57585600506809
until,5.022521789374825,50.75089868232271,3.926929325791175,12.03634865251837
using,4.551531740788105,67.39373841805656,4.210552111793371,8.468581531062398
table,5.590732199205421,45.84204765641837,3.82520174105146,3.502259325647202
group,4.9137845446969965,57.94277828647462,4.05945594228711,7.707603765753291
press,5.208505868320507,61.16658062976465,4.1136009722276725,3.06004957155578
large,5.655469220404184,42.38996713263561,3.74691171000769,5.584523621563726
later,5.989131592940508,34.81438677292564,3.5500307143639174,6.624676749080216
night,4.567085576768988,64.39394864598864,4.165019663570909,11.008619407301381
study,4.948955964451615,64.85695234642351,4.172184111591775,0.1428749540599057
among,4.667555226721093,65.06979729804115,4.175460498365129,7.4090314205573975
young,4.5805917528670035,74.72822768196093,4.313857901375147,0.2766641624057513
shall,5.508206892400906,61.31908670199985,4.116091159926615,10.180592870902302
early,5.742721374123089,40.83661251599537,3.709579044606449,5.344000290127013
thing,4.891128918063438,57.08260642075668,4.044499454158225,9.176067022712239
woman,4.6623898423017325,64.43542500703839,4.165663559622045,8.191776745363512
level,5.155768115479537,104.68863537500664,4.650990567333773,45.28257856424494
light,4.725916327722135,59.56734857871036,4.0871075813116065,11.24972323388456
heart,5.904570400140552,38.117044565505765,3.640661546019285,4.8951592686957355
white,5.175054412550637,54.31692287575144,3.9948358335558813,4.611348011318277
least,5.991961405339138,35.551247507336114,3.570975247260448,5.836147657804361
value,5.023104890740568,54.37205952612837,3.9958504102662,8.400085949190128
model,5.196833907120243,48.918138152839795,3.8901482510767162,9.47411277338005
black,4.8853222876771545,59.470211239563575,4.085475535747902,6.945019540997443
along,5.218659678912635,49.01710698136,3.8921693592502695,8.841742134895838
whole,5.069229873615028,55.5975121704832,4.018138455120249,5.9885380393866825
known,3.8691392263153297,102.36622805709675,4.62855685407815,4.453061172906416
child,4.986436724373699,59.12249037390812,4.079611399803973,4.604554792775772
voice,5.07133684828628,61.00104364437048,4.110890972951061,0.5312272859465423
sense,5.448766820619749,93.93223600370618,4.542573628723687,41.468140266405044
death,5.459834198032114,45.487306314751656,3.817433304940791,6.727857033539131
above,4.740562378379127,62.83482265361209,4.140509420649058,7.569442932188878
taken,5.204548676367609,47.10990243604187,3.852483221727888,11.093376859921584
began,5.0669096507211275,52.46705712683285,3.960185489349118,9.178255948074487
local,5.282479607138288,60.233271266432325,4.0982248784884625,3.9125448731201686
heard,5.502805289792561,42.03795816819809,3.7385729760423336,9.219847117489081
doing,4.933098223720286,63.731686080401865,4.154681865596378,1.4033340018374858
front,5.432722104264323,49.514739712929796,3.9022703972277477,3.311958209081851
money,5.333271361769435,55.428503465417236,4.0150939644278285,0.3089272628427011
close,5.751967641003629,41.25442230988321,3.7197583145466955,4.739612366555235
court,5.568676388777443,46.31080837366395,3.8353753760445644,3.507750044271198
party,5.601027714369794,44.7054925681357,3.800096370315502,4.418751663704704
space,5.745293220054493,44.978369075238724,3.806181686986266,1.1502793243168483
short,5.7121912891123765,42.51236006182389,3.7497948586330745,4.28910574691151
quite,4.75233680932652,62.376496597866826,4.133188547336817,7.697128863391306
clear,5.835472161490055,36.90966640492089,3.6084734789333552,7.429926523725051
